Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,Instructor ,Date (MM DD),Location,Attribute
NR,12354,CSCE,110,501,CS,4,PROGRAMMING I (Syllabus) ,MWF,10:20 am to 11:10 am,48,40,8,Fabiola Nakamura (P),01\17 to 05\08,HRBB 124,NA
NR,12354,CSCE,110,501,CS,4,PROGRAMMING I (Syllabus) ,MW,08:00 am to 08:50 am,48,40,8,Fabiola Nakamura,01\17 to 05\08,RDMC 111J,NA
C,12356,CSCE,110,502,CS,4,PROGRAMMING I (Syllabus) ,MWF,10:20 am to 11:10 am,48,48,0,Fabiola Nakamura (P),01\17 to 05\08,HRBB 124,NA
C,12356,CSCE,110,502,CS,4,PROGRAMMING I (Syllabus) ,MW,09:10 am to 10:00 am,48,48,0,Fabiola Nakamura,01\17 to 05\08,RDMC 111J,NA
NR,12358,CSCE,110,503,CS,4,PROGRAMMING I (Syllabus) ,MWF,12:40 pm to 01:30 pm,48,47,1,Fabiola Nakamura (P),01\17 to 05\08,ETB 2005,NA
NR,12358,CSCE,110,503,CS,4,PROGRAMMING I (Syllabus) ,MW,11:30 am to 12:20 pm,48,47,1,Fabiola Nakamura,01\17 to 05\08,RDMC 111J,NA
NR,20906,CSCE,110,504,CS,4,PROGRAMMING I (Syllabus) ,MWF,12:40 pm to 01:30 pm,48,40,8,Fabiola Nakamura (P),01\17 to 05\08,ETB 2005,NA
NR,20906,CSCE,110,504,CS,4,PROGRAMMING I (Syllabus) ,TR,11:10 am to 12:00 pm,48,40,8,Fabiola Nakamura,01\17 to 05\08,RDMC 111J,NA
C,12320,CSCE,111,501,CS,4,CPSC CONCEPTS & PROGRAM (Syllabus) ,MW,04:10 pm to 05:00 pm,45,45,0,Caio Duarte Diniz Monteiro,01\17 to 05\08,RDMC 111J,NA
C,12320,CSCE,111,501,CS,4,CPSC CONCEPTS & PROGRAM (Syllabus) ,MW,05:45 pm to 07:00 pm,45,45,0,Caio Duarte Diniz Monteiro (P),01\17 to 05\08,HRBB 124,NA
NR,12322,CSCE,111,503,CS,4,CPSC CONCEPTS & PROGRAM (Syllabus) ,MW,10:20 am to 11:10 am,48,39,9,Robert H. Lightfoot,01\17 to 05\08,RDMC 111J,NA
NR,12322,CSCE,111,503,CS,4,CPSC CONCEPTS & PROGRAM (Syllabus) ,TR,08:00 am to 09:15 am,48,39,9,Robert H. Lightfoot (P),01\17 to 05\08,ETB 2005,NA
NR,31969,CSCE,111,504,CS,4,CPSC CONCEPTS & PROGRAM (Syllabus) ,TR,08:00 am to 09:15 am,45,44,1,Robert H. Lightfoot (P),01\17 to 05\08,ETB 2005,NA
NR,31969,CSCE,111,504,CS,4,CPSC CONCEPTS & PROGRAM (Syllabus) ,TR,09:35 am to 10:25 am,45,44,1,Robert H. Lightfoot,01\17 to 05\08,RDMC 111J,NA
C,12323,CSCE,121,501,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,08:00 am to 09:15 am,27,27,0,Dylan A. Shell (P),01\17 to 05\08,HRBB 124,NonTraditional Format Approved
C,12323,CSCE,121,501,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,11:10 am to 12:00 pm,27,27,0,Dylan A. Shell,01\17 to 05\08,RDMC 111H,NonTraditional Format Approved
NR,12326,CSCE,121,502,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,08:00 am to 09:15 am,22,20,2,Dylan A. Shell (P),01\17 to 05\08,HRBB 124,NonTraditional Format Approved
NR,12326,CSCE,121,502,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,12:45 pm to 01:35 pm,22,20,2,Dylan A. Shell,01\17 to 05\08,RDMC 111A,NonTraditional Format Approved
C,12328,CSCE,121,503,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,08:00 am to 09:15 am,26,26,0,Dylan A. Shell (P),01\17 to 05\08,HRBB 124,NonTraditional Format Approved
C,12328,CSCE,121,503,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,05:30 pm to 06:20 pm,26,26,0,Dylan A. Shell,01\17 to 05\08,RDMC 111C,NonTraditional Format Approved
NR,12330,CSCE,121,504,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,MW,05:45 pm to 06:35 pm,25,23,2,Dylan A. Shell,01\17 to 05\08,RDMC 111H,NonTraditional Format Approved
NR,12330,CSCE,121,504,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,08:00 am to 09:15 am,25,23,2,Dylan A. Shell (P),01\17 to 05\08,HRBB 124,NonTraditional Format Approved
NR,13808,CSCE,121,505,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,MW,08:00 am to 08:50 am,22,21,1,Dylan A. Shell,01\17 to 05\08,RDMC 111A,NonTraditional Format Approved
NR,13808,CSCE,121,505,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,09:35 am to 10:50 am,22,21,1,Dylan A. Shell (P),01\17 to 05\08,HRBB 124,NonTraditional Format Approved
C,13988,CSCE,121,506,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,09:35 am to 10:50 am,22,22,0,Dylan A. Shell (P),01\17 to 05\08,HRBB 124,NonTraditional Format Approved
C,13988,CSCE,121,506,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,11:10 am to 12:00 pm,22,22,0,Dylan A. Shell,01\17 to 05\08,RDMC 111A,NonTraditional Format Approved
NR,15040,CSCE,121,507,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,09:35 am to 10:50 am,27,26,1,Dylan A. Shell (P),01\17 to 05\08,HRBB 124,NonTraditional Format Approved
NR,15040,CSCE,121,507,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,07:05 pm to 07:55 pm,27,26,1,Dylan A. Shell,01\17 to 05\08,RDMC 111H,NonTraditional Format Approved
NR,15041,CSCE,121,508,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,MW,01:50 pm to 02:40 pm,29,28,1,Dylan A. Shell,01\17 to 05\08,RDMC 111H,NonTraditional Format Approved
NR,15041,CSCE,121,508,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,09:35 am to 10:50 am,29,28,1,Dylan A. Shell (P),01\17 to 05\08,HRBB 124,NonTraditional Format Approved
C,15779,CSCE,121,509,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,MWF,08:00 am to 08:50 am,22,22,0,Michael R. Nowak (P),01\17 to 05\08,HRBB 124,NonTraditional Format Approved
C,15779,CSCE,121,509,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,MW,09:10 am to 10:00 am,22,22,0,Michael R. Nowak,01\17 to 05\08,RDMC 111A,NonTraditional Format Approved
C,17532,CSCE,121,510,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,MWF,08:00 am to 08:50 am,28,28,0,Michael R. Nowak (P),01\17 to 05\08,HRBB 124,NonTraditional Format Approved
C,17532,CSCE,121,510,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,03:55 pm to 04:45 pm,28,28,0,Michael R. Nowak,01\17 to 05\08,RDMC 111H,NonTraditional Format Approved
C,20909,CSCE,121,511,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,MWF,08:00 am to 08:50 am,22,22,0,Michael R. Nowak (P),01\17 to 05\08,HRBB 124,NonTraditional Format Approved
C,20909,CSCE,121,511,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,TR,05:30 pm to 06:20 pm,22,22,0,Michael R. Nowak,01\17 to 05\08,RDMC 111A,NonTraditional Format Approved
C,20910,CSCE,121,512,CS,4,INTRO PGM DESIGN CONCEPT (Syllabus) ,MWF,08:00 am to 08:50 am,28,28,0,Michael R. Nowak (P),01\17 to 05\08,HRBB 124,NonTraditional Format Approved
