Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM DD),Location,Attribute
C,10001,ACCT,209,501,CS,3,SURVEY OF ACCT PRIN(Syllabus),T,08:00 am to 09:15 am,444,444,0,Mary K. Stasny(P),01 17 to 05 08,WCBA 113,NonTraditional Format Approved
C,10001,ACCT,209,501,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,07:15 pm to 09:00 pm,444,444,0,Mary K. Stasny(P),02 15 to 02 15,TBA,N A
C,10001,ACCT,209,501,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,07:15 pm to 09:00 pm,444,444,0,Mary K. Stasny(P),03 22 to 03 22,TBA,N A
C,10001,ACCT,209,501,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,07:15 pm to 09:00 pm,444,444,0,Mary K. Stasny(P),04 26 to 04 26,TBA,N A
C,10002,ACCT,209,502,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,08:00 am to 09:15 am,455,455,0,Mary K. Stasny(P),01 17 to 05 08,WCBA 113,NonTraditional Format Approved
C,10002,ACCT,209,502,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,07:15 pm to 09:00 pm,455,455,0,Mary K. Stasny(P),02 15 to 02 15,TBA,N A
C,10002,ACCT,209,502,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,07:15 pm to 09:00 pm,455,455,0,Mary K. Stasny(P),03 22 to 03 22,TBA,N A
C,10002,ACCT,209,502,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,07:15 pm to 09:00 pm,455,455,0,Mary K. Stasny(P),04 26 to 04 26,TBA,N A
C,27456,ACCT,209,503,CS,3,SURVEY OF ACCT PRIN(Syllabus),T,08:00 am to 09:15 am,15,15,0,Mary K. Stasny(P),01 17 to 05 08,WCBA 113,NonTraditional Format Approved
C,27456,ACCT,209,503,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,07:15 pm to 09:00 pm,15,15,0,Mary K. Stasny(P),02 15 to 02 15,TBA,N A
C,27456,ACCT,209,503,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,07:15 pm to 09:00 pm,15,15,0,Mary K. Stasny(P),03 22 to 03 22,TBA,N A
C,27456,ACCT,209,503,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,07:15 pm to 09:00 pm,15,15,0,Mary K. Stasny(P),04 26 to 04 26,TBA,N A
C,27457,ACCT,209,504,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,08:00 am to 09:15 am,5,5,0,Mary K. Stasny(P),01 17 to 05 08,WCBA 113,NonTraditional Format Approved
C,27457,ACCT,209,504,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,07:15 pm to 09:00 pm,5,5,0,Mary K. Stasny(P),02 15 to 02 15,TBA,N A
C,27457,ACCT,209,504,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,07:15 pm to 09:00 pm,5,5,0,Mary K. Stasny(P),03 22 to 03 22,TBA,N A
C,27457,ACCT,209,504,CS,3,SURVEY OF ACCT PRIN(Syllabus),R,07:15 pm to 09:00 pm,5,5,0,Mary K. Stasny(P),04 26 to 04 26,TBA,N A
NR,14103,ACCT,210,501,CS,3,MGRL & COST ACCT PRIN(Syllabus),TR,08:00 am to 09:15 am,100,86,14,Robert Strawser(P),01 17 to 05 08,WCBA 161,N A
NR,27381,ACCT,210,502,CS,3,MGRL & COST ACCT PRIN(Syllabus),TR,09:35 am to 10:50 am,100,95,5,Robert Strawser(P),01 17 to 05 08,WCBA 161,N A
C,10003,ACCT,229,200,CS,3,HNR to INTRO ACCOUNTING(Syllabus),TR,02:20 pm to 03:35 pm,32,32,0,Jacqueline D. Knoop(P),01 17 to 05 08,WCBA 462,Honors
C,10003,ACCT,229,200,CS,3,HNR to INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,32,32,0,Jacqueline D. Knoop(P),02 20 to 02 20,TBA,N A
C,10003,ACCT,229,200,CS,3,HNR to INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,32,32,0,Jacqueline D. Knoop(P),03 27 to 03 27,TBA,N A
C,10003,ACCT,229,200,CS,3,HNR to INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,32,32,0,Jacqueline D. Knoop(P),04 24 to 04 24,TBA,N A
C,27382,ACCT,229,201,CS,3,HNR to INTRO ACCOUNTING(Syllabus),TR,03:55 pm to 05:10 pm,32,32,0,Jacqueline D. Knoop(P),01 17 to 05 08,WCBA 462,Honors
C,27382,ACCT,229,201,CS,3,HNR to INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,32,32,0,Jacqueline D. Knoop(P),02 20 to 02 20,TBA,N A
C,27382,ACCT,229,201,CS,3,HNR to INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,32,32,0,Jacqueline D. Knoop(P),03 27 to 03 27,TBA,N A
C,27382,ACCT,229,201,CS,3,HNR to INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,32,32,0,Jacqueline D. Knoop(P),04 24 to 04 24,TBA,N A
C,10004,ACCT,229,501,CS,3,INTRO ACCOUNTING(Syllabus),MW,08:00 am to 09:15 am,46,46,0,Jeannie Barrett(P),01 17 to 05 08,WCBA 104,N A
C,10004,ACCT,229,501,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,46,46,0,Jeannie Barrett(P),02 20 to 02 20,TBA,N A
C,10004,ACCT,229,501,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,46,46,0,Jeannie Barrett(P),03 27 to 03 27,TBA,N A
C,10004,ACCT,229,501,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,46,46,0,Jeannie Barrett(P),04 24 to 04 24,TBA,N A
C,10005,ACCT,229,502,CS,3,INTRO ACCOUNTING(Syllabus),MW,09:35 am to 10:50 am,46,46,0,Jeannie Barrett(P),01 17 to 05 08,WCBA 104,N A
C,10005,ACCT,229,502,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,46,46,0,Jeannie Barrett(P),02 20 to 02 20,TBA,N A
C,10005,ACCT,229,502,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,46,46,0,Jeannie Barrett(P),03 27 to 03 27,TBA,N A
C,10005,ACCT,229,502,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,46,46,0,Jeannie Barrett(P),04 24 to 04 24,TBA,N A
C,10006,ACCT,229,503,CS,3,INTRO ACCOUNTING(Syllabus),MW,12:45 pm to 02:00 pm,82,105, to 23,Jeannie Barrett(P),01 17 to 05 08,WCBA 161,N A
C,10006,ACCT,229,503,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,82,105, to 23,Jeannie Barrett(P),02 20 to 02 20,TBA,N A
C,10006,ACCT,229,503,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,82,105, to 23,Jeannie Barrett(P),03 27 to 03 27,TBA,N A
C,10006,ACCT,229,503,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,82,105, to 23,Jeannie Barrett(P),04 24 to 04 24,TBA,N A
C,24413,ACCT,229,504,CS,3,INTRO ACCOUNTING(Syllabus),TR,11:10 am to 12:25 pm,68,68,0,Michael J. Head(P),01 17 to 05 08,WCBA 111,N A
